abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
0;0;0;0;0;0;0;0;0;0;0;0;101500137010420403;1015001370104204103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500137010420503;1015001370104205103;10150
2;0;2;0;2;0;2;0;1;60;2;0;101500137010420603;1015001370104206103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500137010420703;1015001370104207103;10150
2;0;2;0;2;0;2;0;2;0;1;120;101500137010420803;1015001370104208103;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500139050290101;1015001390502901101;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500139050290201;1015001390502902101;10150
2;0;2;0;2;0;2;0;2;0;1;40;101500139050290301;1015001390502903101;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500139050290401;1015001390502904101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500139050290501;1015001390502905101;10150
1;100;2;0;2;0;2;0;2;0;2;0;101500139050290601;1015001390502906101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500139050290901;1015001390502909101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500141020320102;1015001410203201102;10150
1;120;2;0;2;0;2;0;2;0;2;0;101500141020320202;1015001410203202102;10150
